abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
The hunt for pools is fierce as homeowners search for ways to stay cool in the safety of their backyards.,2020-06-03T09:00:23+0000,News,1447,,Hoping to Buy an Aboveground Pool to Salvage Summer? It May Be Too Late,New York,
Our ride with New York City medics during the coronavirus peak revealed a new side to their job: guiding patients on whether to go to the hospital.,2020-06-03T08:55:01+0000,Video,0,,"‘Bye, Mommy, I Love You’: Medics and Coronavirus Patients Make Hard Decisions",U.S.,
The Midwestern city that has been the site of unrest views itself as embracing multiculturalism. But it also struggles with segregation and racial gaps on education.,2020-06-01T09:00:30+0000,News,1636,1,"How Minneapolis, One of America’s Most Liberal Cities, Struggles With Racism",U.S.,
What if the protesters in Minneapolis had adopted the tactics of the anti-lockdown agitators?,2020-06-01T14:55:37+0000,Op-Ed,658,,When the Protesters Carried Guns,Opinion,
Policymakers in the 1960s had the answers — give political and economic power to the people — but walked away.,2020-06-02T14:27:25+0000,Op-Ed,1657,,George Floyd’s Death Is a Failure of Generations of Leadership,Opinion,
A city that lay quiet for two months is now pulsing with protesters. Here are their stories.,2020-06-02T20:50:43+0000,News,1217,,‘He Could Have Been My Brother’: Women’s Voices in the Protests,U.S.,
Here’s what you need to know at the end of the day.,2020-06-02T22:06:00+0000,briefing,1120,,"William Barr, George Floyd Protests, Birdsongs: Your Tuesday Evening Briefing",Briefing,
This country has failed to provide one of the most fundamental protections in the Constitution: the right to life.,2020-06-01T23:51:51+0000,Editorial,1142,30,America’s Protests Won’t Stop Until Police Brutality Does,Opinion,
"Our picks for June, including ‘Queer Eye,’ ‘Da 5 Bloods,’ ‘Scarface’ and ‘LOL: Last One Laughing Australia’",2020-06-01T07:45:52+0000,News,1643,,"The Best Movies and TV Shows New to Netflix, Amazon and Stan in Australia in June",Arts,Television
"The Iowa congressman is too much, even for the party of Donald Trump.",2020-06-01T09:00:16+0000,Op-Ed,961,,The G.O.P. Tosses Steve King Overboard,Opinion,
"Books scheduled for release this spring and summer are now on track for fall, when authors will be fighting for attention in the midst of a presidential election and an ongoing crisis.",2020-06-01T09:00:32+0000,News,1329,6,Fall Is Now Jam-Packed for Book Publishers. That Could Be a Problem.,Books,
Recent commercial real estate transactions in New York.,2020-06-02T18:25:01+0000,News,241,7,Recent Commercial Real Estate Transactions,Business Day,
I knew it had to be more complicated than it seemed on Twitter. So I asked around a bit.,2020-06-01T09:00:27+0000,Op-Ed,1968,,What It’s Like to Wear a Mask in the South,Opinion,
Dozens of countries that borrowed from private investors have debt payments coming due as their economies have crashed because of the coronavirus.,2020-06-01T09:00:18+0000,News,1411,3,Poor Countries Face a Debt Crisis ‘Unlike Anything We Have Seen’,Business Day,
"Even as major chains boarded up stores and halted operations, they largely sought to convey empathy for demonstrators and did not condemn the damage to their businesses.",2020-06-01T20:33:08+0000,News,1217,1,"Retailers, Battered by Pandemic, Now Confront Protests",Business Day,
We need support while the economy gets back on its feet.,2020-06-01T19:00:10+0000,Op-Ed,796,,The Virus Could Cost States Like Mine Billions of Dollars,Opinion,
Why misconduct procedures are rarely enough to discipline officers using excessive force.,2020-06-02T09:59:40+0000,News,250,,The Systems That Protect the Police,Podcasts,The Daily
"Many protesters have volunteered to clean up after looting and vandalism, in the hope that the movement will not be defined by destruction.",2020-06-01T23:34:00+0000,News,903,19,"In Cities Battered by Protest, the Cleaning Crews Come Out",U.S.,
,2020-06-02T19:37:16+0000,,0,,Live: Indiana State Primary Election Results 2020,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,Pennsylvania Presidential Democratic Primary Election Results,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,New Mexico Presidential Democratic Primary Election Results,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,Live: Idaho State Primary Election Results 2020,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,Pennsylvania Primary Election Results: Eighth Congressional District,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,Pennsylvania Primary Election Results: Fifth Congressional District,U.S.,Elections
"J.D. Scholten was preparing for a rematch with Mr. King, the controversial Iowa congressman. Then Mr. King lost the Republican primary.",2020-06-03T22:59:49+0000,News,992,25,"With Steve King Gone, Does the Democrat Have a Shot in His Iowa District?",U.S.,Politics
"In communities across the country, congregations that had sequestered for months to avoid the coronavirus ventured forth at a social distance in search of comfort.",2020-06-01T00:28:09+0000,News,1524,14,"Amid Riots and a Pandemic, Church Attendance Resumes in ‘a Very Broken World’",U.S.,
"What began as a proposed day of reflection after the death of George Floyd morphed into something broader, leading some to complain that #BlackLivesMatter posts were being silenced.",2020-06-02T17:06:25+0000,News,1220,6,#BlackoutTuesday: A Music Industry Protest Becomes a Social Media Moment,Arts,Music
"It’s understandable to want to rekindle a lapsed friendship, but experts say you should think about what your intentions are before you reach out.",2020-06-03T02:00:08+0000,News,1242,8,Should You Reach Out to a Former Friend Right Now?,Smarter Living,
"A rock on the court known for his indefatigable rebounding, he helped turn the Baltimore Bullets around.",2020-06-02T15:50:08+0000,Obituary (Obit),1055,11,"Wes Unseld, Powerful Hall of Fame N.B.A. Center, Dies at 74",Sports,Pro Basketball
"People even with heart problems are avoiding emergency rooms because they are worried about possible coronavirus infection, according to a C.D.C. report.",2020-06-03T23:32:42+0000,News,860,5,E.R. Visits Drop Sharply During Pandemic,Health,
This country has failed to provide one of the most fundamental protections in the Constitution: the right to life.,2020-06-01T23:51:51+0000,Editorial,1142,30,America’s Protests Won’t Stop Until Police Brutality Does,Opinion,
"As the protesters moved north, fringe groups hung back, setting fires, breaking windows and grabbing goods from a string of luxury boutiques.",2020-06-01T23:09:07+0000,News,860,19,Shattered Glass in SoHo as Looters Ransack Lower Manhattan,New York,
Groups trying to get voters to sign up for mail-in ballots in November had a big opportunity in Tuesday’s primary elections.,2020-06-02T23:28:33+0000,News,1241,,Geofencing at the Ballot Box,U.S.,Politics
Policymakers in the 1960s had the answers — give political and economic power to the people — but walked away.,2020-06-02T14:27:25+0000,Op-Ed,1657,,George Floyd’s Death Is a Failure of Generations of Leadership,Opinion,
"Administrators, professors, a union representative and students consider the new realities of life on campus in the midst of a pandemic.",2020-06-03T09:00:29+0000,News,6356,,What Will College Be Like in the Fall?,Magazine,
"The specter of Covid-19 has changed a great deal for all of us, but there is an enduring desire to connect, in public, with those we love and with those with whom we disagree.",2020-06-03T16:30:56+0000,Letter,683,,A Beacon of Possibility for Your Time Indoors,At Home,
"The D.J.’s interviews on Apple’s Beats 1 have gone from promotional stops to opportunities for deep thoughts, anchored by an impulse to share his own story.",2020-06-01T14:00:10+0000,News,2029,13,How Zane Lowe Became Pop’s Unofficial Therapist,Arts,Music
"Awash in the ghastly video mosaic shot by black people’s cameraphones, I found myself doubled over the kitchen sink. Then a lyric gave me strength.",2020-06-03T17:53:10+0000,News,1701,1,The Videos That Rocked America. The Song That Knows Our Rage.,Arts,
These esteemed black American creators make work that responds to violence against the black body.,2020-06-01T19:51:06+0000,News,158,,Five Artists for This Moment,T Magazine,
"The people giving voice to their anger are individual pieces of a movement, like drops of water to a wave.",2020-06-02T09:00:37+0000,News,2776,24,"‘In Every City, There’s a George Floyd’: Portraits of Protest",U.S.,
"Black employment rates are plummeting, and the evolving wealth and income hit could fall on the shoulders of those ill-equipped to bear it.",2020-06-01T23:01:25+0000,News,1253,1,"Black Workers, Already Lagging, Face Big Economic Risks",Business Day,Economy
,2020-06-02T19:37:16+0000,,0,,Iowa Primary Election Results: Third Congressional District,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,Pennsylvania Presidential Republican Primary Election Results,U.S.,Elections
,2020-06-02T19:37:16+0000,,0,,New Mexico Presidential Democratic Primary Election Results,U.S.,Elections
"On Saturday, the artist Jammie Holmes staged his own kind of protest in five cities across the country.",2020-06-01T16:00:14+0000,News,838,,"George Floyd’s Final Words, Written in the Sky",T Magazine,
Supercuts of police behavior are receiving enormous numbers of views.,2020-06-02T19:10:39+0000,News,721,,People Can’t Stop Watching Videos of Police and Protesters. That’s the Idea.,Style,
"Brazil, Russia, Britain and the U.S. have something in common.",2020-06-02T09:00:15+0000,News,667,6,Where the Virus Is Growing Most: Countries With ‘Illiberal Populist’ Leaders,Briefing,
Galleries and museums are getting creative about presenting work online during the coronavirus crisis. Here are two shows worth viewing virtually.,2020-06-03T13:00:13+0000,Review,678,6,2 Art Gallery Shows to Explore From Home,Arts,Art & Design
The organization that oversees the standardized test used for college admissions said the technology requirements for taking it remotely would be too great for some students.,2020-06-02T22:25:16+0000,News,487,,College Board Scraps Plans for SAT at Home,U.S.,
"As 8 p.m. passed, peaceful demonstrations were continuing. The authorities soon moved to disperse them and to make arrests.",2020-06-03T13:25:55+0000,News,2754,,"After Curfew, Police Arrest Dozens of Protesters in New York City",New York,
"The low-oxygen zone can cause harm not just to marine life, but also to those who catch shrimp and fish for their livelihood.",2020-06-03T21:53:54+0000,News,726,18,"Gulf of Mexico ‘Dead Zone’ Will Be Large This Summer, Scientists Predict",Climate,
"Ms. Wilson, who had the coronavirus, was the first African-American senior zookeeper at what is now the Maryland Zoo in Baltimore.",2020-06-02T21:11:26+0000,Obituary (Obit),531,22,"Mary J. Wilson, Barrier-Smashing Zookeeper, Dies at 83",U.S.,
"The D.J.’s interviews on Apple’s Beats 1 have gone from promotional stops to opportunities for deep thoughts, anchored by an impulse to share his own story.",2020-06-01T14:00:10+0000,News,2029,13,How Zane Lowe Became Pop’s Unofficial Therapist,Arts,Music
"Administrators, professors, a union representative and students consider the new realities of life on campus in the midst of a pandemic.",2020-06-03T09:00:29+0000,News,6356,,What Will College Be Like in the Fall?,Magazine,
