,abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
8698,"Just weeks after another company was criticized for razing ancient caves in the Pilbara desert, BHP said it would expand an iron ore mine on land that contains rock shelters some 15,000 years old.",2020-06-11T12:47:36+0000,News,853,10.0,"Mining Firm Plans to Destroy Indigenous Australian Sites, Despite Outcry",World,Australia
8699,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: Second House District,U.S.,Elections
8700,,2020-06-10T22:02:43+0000,,0,,Alabama Presidential Republican Primary Election Results,U.S.,Elections
8701,,2020-06-10T22:02:43+0000,,0,,Utah Presidential Republican Primary Election Results,U.S.,Elections
8702,,2020-06-10T22:02:43+0000,,0,,Alabama Primary Election Results: First House District,U.S.,Elections
8703,,2020-06-10T22:02:43+0000,,0,,Colorado Presidential Republican Primary Election Results,U.S.,Elections
8704,,2020-06-10T22:02:47+0000,,0,,Alabama Republican Primary Election Results: Fifth House District,U.S.,Elections
8705,"It is heading toward “Out of Many, None,” and I fear it becoming “Out of Many, Me.”",2020-06-10T00:03:43+0000,Op-Ed,1502,26.0,"Let’s Change Our Motto to ‘Out of Many, We’",Opinion,
8707,The show’s 33rd season was expected to premiere on the Paramount Network on June 15.,2020-06-10T00:31:11+0000,News,451,19.0,"‘Cops,’ Long-Running Reality Show That Glorified Police, Is Canceled",Business Day,Media
8710,A handful of Europe’s top soccer leagues canceled their seasons because of the coronavirus pandemic. That left dozens of players celebrating championships won on formulas instead of on the field.,2020-06-11T08:00:09+0000,News,1275,11.0,When the Title Arrives in a Text Message,Sports,Soccer
8711,"Sixteen poets tell us about the verses and books they are reading, or that they hope others seek out.",2020-06-11T09:00:28+0000,News,1653,13.0,The Poems That Poets Turn to in a Time of Strife,Books,
8712,"Like everything else, seasonal catcalling will be different this year.",2020-06-10T15:11:50+0000,News,1337,3.0,Silver Lining to the Mask? Not Having to Smile,Style,
8713,The extensive molecular changes that occur during and after working out underscore how consequential activity is for our bodies and health.,2020-06-10T09:00:15+0000,News,878,6.0,"A Single Session of Exercise Alters 9,815 Molecules in Our Blood",Well,Move
8714,"Recreational vehicles were gaining in popularity before the pandemic. Now, with travel restrictions loosening, a surge of travelers is drawn to the relative solitude that R.V.s offer.",2020-06-11T09:00:40+0000,News,1833,,Worried About Social Distancing When Traveling? Join the Crowd and Rent an R.V.,Travel,
8715,The House Judiciary Committee heard testimony on police accountability as the fallout from protests spread across industries.,2020-06-10T13:18:46+0000,News,4579,,America’s Reckoning on Racism Spreads Beyond Policing,U.S.,
8720,"Ali Kushayb, a Sudanese militia leader charged with 50 crimes against humanity and war crimes related to the conflict in Darfur, has surrendered to the authorities.",2020-06-09T18:13:47+0000,News,505,,Sudanese War Crimes Suspect Arrested After 13 Years on the Run,World,Africa
8721,"Palestinian landowners will now be able to move ahead with lawsuits to recover privately owned property on which nearly 4,000 Jewish homes had been built in the occupied West Bank.",2020-06-10T00:22:18+0000,News,1038,11.0,Israel Court Rejects Law Legalizing Thousands of Settlement Homes,World,Middle East
8722,"With the coronavirus largely affecting people who are grandparent-aged, it’s a good time to talk with children about death.",2020-06-10T09:00:10+0000,News,1216,,"When a Grandchild Asks, ‘Are You Going to Die?’",Well,Family
8729,,2020-06-10T22:02:55+0000,,0,,California Primary Election Results: 50th House District,U.S.,Elections
8730,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: 25th House District,U.S.,Elections
8731,,2020-06-10T22:02:55+0000,,0,,North Carolina Primary Election Results: 11th House District,U.S.,Elections
8732,,2020-06-10T22:02:55+0000,,0,,California Primary Election Results: 52nd House District,U.S.,Elections
8733,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: 26th House District,U.S.,Elections
8734,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: 35th House District,U.S.,Elections
8735,,2020-06-10T22:02:48+0000,,0,,California Primary Election Results: Fifth House District,U.S.,Elections
8736,,2020-06-10T22:02:48+0000,,0,,California Primary Election Results: 27th House District,U.S.,Elections
8737,,2020-06-10T22:02:49+0000,,0,,California Primary Election Results: 33rd House District,U.S.,Elections
8738,,2020-06-10T22:02:51+0000,,0,,California Primary Election Results: 36th House District,U.S.,Elections
8739,,2020-06-10T22:02:52+0000,,0,,California Primary Election Results: 34th House District,U.S.,Elections
8740,,2020-06-10T22:02:54+0000,,0,,California Primary Election Results: 53rd House District,U.S.,Elections
8741,The governor of California required the troubled utility to replace its directors as a condition for taking part in a new wildfire liability fund.,2020-06-10T23:57:49+0000,News,439,,PG&E Appoints a New Board as It Eyes Its Bankruptcy Exit,Business Day,Energy & Environment 
8742,Peter Collins remembers his heroes.,2020-06-11T02:00:11+0000,News,1086,,While a Crowd Watches,Crosswords & Games,
8743,"The popular music festivals in Southern California had been postponed in March, with hopes of being held in the fall.",2020-06-11T01:39:27+0000,News,432,,Coachella and Stagecoach Canceled as Officials Fear Virus Resurgence,Arts,Music
8745,"“There’s also the feeling that anybody who could have possibly been interrogated has already said all that could be said,” one public official said of the 2007 disappearance of the British 3-year-old.",2020-06-10T17:09:12+0000,News,1141,10.0,"In Town Where Madeleine McCann Vanished, Residents Weary of the Case",World,Europe
8746,"After a letter of protest from the newspaper’s union, Gerard Baker, now an editor at large, was reassigned to the opinion department.",2020-06-10T03:34:59+0000,News,739,4.0,Wall Street Journal Staff Faults Column on Race by Former Top Editor,Business Day,
8747,The company said it hoped the moratorium “might give Congress enough time to put in place appropriate rules” for the technology.,2020-06-10T21:57:52+0000,News,1013,3.0,Amazon Pauses Police Use of Its Facial Recognition Software,Technology,
8748,A poem that asks our most present questions: What comes next? Who knows what?,2020-06-11T09:00:17+0000,News,233,,Poem: Lion,Magazine,
8749,,2020-06-10T22:02:47+0000,,0,,Minnesota Polls: Who Different Groups Supported,U.S.,Elections
8750,,2020-06-10T22:02:48+0000,,0,,California Primary Election Results: 32nd House District,U.S.,Elections
8751,,2020-06-10T22:02:48+0000,,0,,California Primary Election Results: 18th House District,U.S.,Elections
8752,,2020-06-10T22:02:47+0000,,0,,Live Results: Virginia Presidential Primary 2020,U.S.,Elections
8763,A Times photojournalist and correspondent spent two weeks driving through Europe as it edged out of lockdown. Here is what they saw in six countries.,2020-06-11T09:01:25+0000,News,1000,5.0,Europe Resurfaces to Find Odd Mix of the Familiar and the Alien,World,Europe
8764,"Scholars said they would not hold classes or lectures on Wednesday, and leading journals and scientific associations said they would not announce most breakthroughs.",2020-06-10T17:49:46+0000,News,985,23.0,"For a Day, Scientists Pause Science to Confront Racism",Science,
8765,Harold Varner III — after discussing racial injustice with PGA Tour leaders — finished Thursday’s opening round of the Charles Schwab Challenge tied with Justin Rose for first.,2020-06-11T22:46:59+0000,News,894,10.0,Varner Leads as Golf Makes Its Return in Pin-Drop Silence,Sports,Golf
8766,"Mason James Lira, 26, who shot a deputy in the face outside a police station in Paso Robles, Calif., early Wednesday, was surrounded by officers in a vineyard on Thursday, the authorities said.",2020-06-11T23:29:25+0000,News,534,,"Ambush Suspect Is Killed After Wounding 3 Officers in a Standoff, Sheriff Says",U.S.,
8767,President Trump has vowed to block efforts to remove Confederate names from military bases.,2020-06-11T18:41:59+0000,News,1259,1.0,‘A Slap in the Face’: Black Veterans on Bases Named for Confederates,U.S.,Politics
8769,,2020-06-10T22:02:55+0000,,0,,North Carolina Primary Election Results: 10th House District,U.S.,Elections
8770,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: 20th House District,U.S.,Elections
8771,,2020-06-10T22:02:56+0000,,0,,Texas Primary Election Results: 16th House District,U.S.,Elections
8773,,2020-06-10T22:02:54+0000,,0,,Texas Primary Election Results: First House District,U.S.,Elections
8774,,2020-06-10T22:02:54+0000,,0,,California Primary Election Results: 45th House District,U.S.,Elections
8775,,2020-06-10T22:02:54+0000,,0,,California Primary Election Results: 46th House District,U.S.,Elections
8776,,2020-06-10T22:02:54+0000,,0,,California Primary Election Results: 48th House District,U.S.,Elections
8777,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: Ninth House District,U.S.,Elections
